GDI Rank,Country,Location,Gender Development Index (GDI),Human Development Index (Female),Human Development Index (Male),Life Expectancy at Birth (Female),Life Expectancy at Birth (Male),Expected Years of Education (Female),Expected Years of Education (Male),Mean Years of Education (Female),Mean Years of Education (Male),Estimated Gross National Income per Capita (Female),Estimated Gross National Income per Capita (Male)
126,Morocco,Africa,0.828,0.555,0.67,75.1,73,10.6,11.6,3.2,5.3,3222,10573
126,Namibia,Africa,0.981,0.62,0.632,67.3,62.1,11.4,11.3,6.3,6.1,7672,11267
128,Guatemala,Central America,0.949,0.608,0.641,75.3,68.3,10.2,11,5.5,5.7,5021,8934
129,Tajikistan,Asia,0.926,0.6,0.648,73.2,66.2,10.5,12,9.6,11.2,2014,3017
130,India,Asia,0.795,0.525,0.66,69.5,66.6,11.3,11.8,3.6,7.2,2116,8656
131,Honduras,Central America,0.944,0.583,0.618,75.7,70.7,11.6,10.6,5.5,5.4,2365,5508
132,Bhutan,Asia,0.897,0.572,0.638,69.7,69.2,12.8,12.6,2,4.1,5733,8418
133,Timor-Leste,Asia,0.868,0.548,0.631,70.1,66.5,11.3,12,3.6,5.3,3122,7530
134,Syrian Arab Republic,Asia,0.834,0.52,0.623,76.5,64,12.2,12.3,5.4,7.4,864,4523
134,Vanuatu,Oceania,0.903,0.587,0.65,74,69.9,10.2,10.9,8,10,2141,3445
136,Congo,Africa,0.922,0.561,0.609,63.9,60.8,10.9,11.3,4.9,6.5,5165,6859
137,Kiribati,Oceania,..,..,..,69.2,62.8,12.7,11.9,..,..,..,..
138,Equatorial Guinea,Africa,..,..,..,59,56.3,..,..,4,7.2,17073,24850
139,Zambia,Africa,0.917,0.558,0.609,62,58.2,13,13.9,5.8,7.3,3019,4452
140,Ghana,Africa,0.885,0.54,0.61,62.3,60.4,11,12,5.6,7.9,3200,4515
141,Lao People's Democratic Republic,Asia,0.896,0.543,0.606,67.5,64.8,10.1,11,3.9,6.1,4086,5279
142,Bangladesh,Asia,0.917,0.541,0.59,72.9,70.4,10.3,9.7,4.5,5.5,2278,4083
143,Cambodia,Asia,0.89,0.519,0.584,70.3,66.2,10.3,11.5,3.2,5.4,2526,3393
143,Sao Tome and Principe,Africa,0.891,0.52,0.584,68.4,64.4,11.4,11.2,4,5.5,1886,3976
145,Kenya,Africa,0.913,0.527,0.577,63.4,59.9,10.7,11.3,5.9,7.3,2255,3270
145,Nepal,Asia,0.908,0.521,0.574,71.1,68.2,12.5,12.2,2.3,4.5,1956,2690
147,Pakistan,Asia,0.726,0.436,0.601,67.2,65.3,7,8.5,3.1,6.2,1450,8100
148,Myanmar,Asia,..,..,..,68,63.9,..,..,4.3,3.8,3873,5386
149,Angola,Africa,..,..,..,53.8,50.8,8.7,14,..,..,5497,8169
150,Swaziland,Africa,0.879,0.494,0.561,48.2,49.6,10.9,11.8,7.4,6.8,3894,7235
151,Tanzania (United Republic of),Africa,0.938,0.504,0.538,66.4,63.5,9,9.3,4.5,5.8,2320,2502
152,Nigeria,Africa,0.841,0.468,0.556,53.1,52.4,8.2,9.8,4.9,7.1,4052,6585
153,Cameroon,Africa,0.879,0.478,0.544,56.7,54.4,9.5,11.2,5.3,6.7,2266,3341
154,Madagascar,Africa,0.945,0.497,0.526,66.6,63.6,10.2,10.5,6.6,6.1,1098,1560
155,Zimbabwe,Africa,0.922,0.487,0.529,58.9,56.2,10.7,11,6.7,7.7,1387,1850
156,Mauritania,Africa,0.816,0.446,0.546,64.5,61.6,8.5,8.5,2.7,4.8,1625,5468
